month,source_hour,mean_irradiance_w_m2,median_irradiance_w_m2,min_irradiance_w_m2,max_irradiance_w_m2,std_irradiance_w_m2,valid_observation_count,missing_observation_count
1,1,9.821428571428571,5.277777777777777,0.0,34.72222222222222,10.406395017074384,14,1
1,2,25.666666666666668,21.11111111111111,5.833333333333334,86.66666666666667,20.590328802902597,15,1
1,3,60.53703703703703,52.77777777777778,15.0,155.0,32.81583522844044,15,1
1,4,106.40740740740742,103.88888888888889,32.22222222222222,229.16666666666666,46.12622465391076,15,1
1,5,165.46296296296296,162.77777777777777,49.166666666666664,324.1666666666667,63.56956661892213,15,1
1,6,238.68518518518522,243.33333333333331,88.61111111111111,428.8888888888889,78.56008683038961,15,1
1,7,325.5185185185185,329.72222222222223,136.94444444444443,519.7222222222222,91.03654678898998,15,1
1,8,412.31481481481484,427.49999999999994,190.0,608.0555555555555,103.19823193003931,15,1
1,9,493.33333333333326,509.72222222222223,253.61111111111111,668.3333333333334,109.00746701928817,15,1
1,10,557.0555555555555,582.5,298.33333333333337,710.0,115.9391431770777,15,1
1,11,606.3703703703703,623.8888888888889,325.27777777777777,727.7777777777778,111.36347662991535,15,1
1,12,632.3148148148147,660.0,333.05555555555554,772.2222222222222,113.56800840819407,15,1
1,13,635.5,675.8333333333333,347.49999999999994,774.4444444444443,102.79280241960957,15,1
1,14,602.0740740740741,626.6666666666666,327.2222222222222,743.3333333333334,99.60210005955086,15,1
1,15,550.0555555555554,559.1666666666666,297.22222222222223,683.6111111111111,93.64985538943496,15,1
1,16,475.8888888888889,487.49999999999994,253.33333333333334,605.5555555555555,82.79496732142971,15,1
1,17,393.0,404.72222222222223,221.66666666666669,491.38888888888886,69.6696507044272,15,1
1,18,301.5555555555556,310.5555555555556,172.22222222222223,390.8333333333333,60.90756143997537,15,1
1,19,219.88888888888886,224.44444444444446,121.38888888888889,294.44444444444446,51.2551670729448,15,1
1,20,143.33333333333331,152.5,81.94444444444444,194.44444444444443,35.04170480781068,15,1
1,21,85.4814814814815,96.38888888888889,39.99999999999999,124.44444444444444,29.898134424958467,15,1
1,22,41.42592592592592,45.0,15.833333333333334,83.33333333333333,18.78380745995161,15,1
1,23,16.59259259259259,13.61111111111111,2.4999999999999996,48.61111111111111,12.05626262769325,15,1
1,24,7.925925925925925,5.833333333333334,0.0,25.277777777777775,7.291235185016432,15,1
2,1,0.36458333333333337,0.0,0.0,2.2222222222222223,0.7079701320104754,16,0
2,2,1.0069444444444444,0.2777777777777778,0.0,4.999999999999999,1.4049991579160663,16,0
2,3,7.256944444444445,5.277777777777777,0.0,21.38888888888889,6.662711017821191,16,0
2,4,29.513888888888886,25.138888888888886,2.7777777777777777,73.61111111111111,20.199493739326808,16,0
2,5,72.30902777777777,67.08333333333334,38.333333333333336,135.0,29.304299385048598,16,0
2,6,137.84722222222223,125.55555555555556,89.72222222222223,221.38888888888889,36.71832780380689,16,0
2,7,209.40972222222223,190.83333333333331,150.0,314.4444444444444,45.46330711946374,16,0
2,8,290.8333333333333,277.63888888888886,222.22222222222223,393.6111111111111,51.71324065710115,16,0
2,9,360.88541666666663,346.5277777777777,281.9444444444444,476.1111111111111,59.89713565411873,16,0
2,10,429.2013888888889,413.88888888888886,350.0,543.0555555555555,57.569949848114355,16,0
2,11,478.81944444444446,463.19444444444446,405.55555555555554,611.1111111111112,59.93502139920747,16,0
2,12,493.81944444444446,485.41666666666663,388.3333333333333,619.4444444444445,64.2808027714206,16,0
2,13,504.11458333333337,501.94444444444446,418.3333333333333,655.2777777777777,62.8791559958056,16,0
2,14,482.44791666666663,471.25,396.3888888888889,609.4444444444445,58.878599620853386,16,0
2,15,425.86805555555554,406.66666666666663,313.6111111111111,588.8888888888889,64.53688094460108,16,0
2,16,355.0347222222222,336.94444444444446,243.05555555555554,493.6111111111111,57.72993701340766,16,0
2,17,277.36111111111114,272.3611111111111,166.11111111111111,366.11111111111114,49.427275421123056,16,0
2,18,197.96874999999997,199.30555555555554,102.77777777777777,273.88888888888886,43.39889612272162,16,0
2,19,119.40972222222223,124.02777777777777,51.388888888888886,181.11111111111111,34.797899013017506,16,0
2,20,56.00694444444444,65.55555555555554,11.666666666666668,105.0,26.81821808002266,16,0
2,21,17.586805555555557,17.916666666666668,0.0,38.05555555555556,11.147956847441955,16,0
