year,month,source_hour,irradiance_w_m2,pv_capacity_kw,performance_ratio,availability_factor,pv_generation_kw,generation_type
1985,3,13,467.2222222222222,100.0,0.8,1.0,37.37777777777777,MODELED_SCENARIO
1985,3,14,414.1666666666667,100.0,0.8,1.0,33.13333333333334,MODELED_SCENARIO
1985,3,15,346.1111111111111,100.0,0.8,1.0,27.688888888888886,MODELED_SCENARIO
1985,3,16,269.44444444444446,100.0,0.8,1.0,21.555555555555557,MODELED_SCENARIO
1985,3,17,164.16666666666666,100.0,0.8,1.0,13.133333333333333,MODELED_SCENARIO
1985,3,18,73.88888888888889,100.0,0.8,1.0,5.9111111111111105,MODELED_SCENARIO
1985,3,19,20.0,100.0,0.8,1.0,1.6,MODELED_SCENARIO
1985,3,20,0.5555555555555556,100.0,0.8,1.0,0.044444444444444446,MODELED_SCENARIO
1985,3,21,0.0,100.0,0.8,1.0,0.0,MODELED_SCENARIO
1985,3,22,0.0,100.0,0.8,1.0,0.0,MODELED_SCENARIO
1985,3,23,0.0,100.0,0.8,1.0,0.0,MODELED_SCENARIO
1985,3,24,0.0,100.0,0.8,1.0,0.0,MODELED_SCENARIO
1985,4,1,0.0,100.0,0.8,1.0,0.0,MODELED_SCENARIO
1985,4,2,0.0,100.0,0.8,1.0,0.0,MODELED_SCENARIO
1985,4,3,0.0,100.0,0.8,1.0,0.0,MODELED_SCENARIO
1985,4,4,0.0,100.0,0.8,1.0,0.0,MODELED_SCENARIO
1985,4,5,0.0,100.0,0.8,1.0,0.0,MODELED_SCENARIO
1985,4,6,0.0,100.0,0.8,1.0,0.0,MODELED_SCENARIO
1985,4,7,2.2222222222222223,100.0,0.8,1.0,0.17777777777777778,MODELED_SCENARIO
1985,4,8,53.333333333333336,100.0,0.8,1.0,4.2666666666666675,MODELED_SCENARIO
1985,4,9,56.66666666666666,100.0,0.8,1.0,4.533333333333333,MODELED_SCENARIO
1985,4,10,124.16666666666669,100.0,0.8,1.0,9.933333333333337,MODELED_SCENARIO
1985,4,11,158.33333333333331,100.0,0.8,1.0,12.666666666666666,MODELED_SCENARIO
1985,4,12,221.66666666666669,100.0,0.8,1.0,17.733333333333334,MODELED_SCENARIO
1985,4,13,187.5,100.0,0.8,1.0,15.0,MODELED_SCENARIO
1985,4,14,162.5,100.0,0.8,1.0,13.0,MODELED_SCENARIO
1985,4,15,118.33333333333331,100.0,0.8,1.0,9.466666666666667,MODELED_SCENARIO
1985,4,16,57.77777777777777,100.0,0.8,1.0,4.622222222222222,MODELED_SCENARIO
1985,4,17,31.11111111111111,100.0,0.8,1.0,2.488888888888889,MODELED_SCENARIO
1985,4,18,3.888888888888889,100.0,0.8,1.0,0.3111111111111111,MODELED_SCENARIO
1985,4,19,0.0,100.0,0.8,1.0,0.0,MODELED_SCENARIO
1985,4,20,0.0,100.0,0.8,1.0,0.0,MODELED_SCENARIO
1985,4,21,0.0,100.0,0.8,1.0,0.0,MODELED_SCENARIO
1985,4,22,0.0,100.0,0.8,1.0,0.0,MODELED_SCENARIO
1985,4,23,0.0,100.0,0.8,1.0,0.0,MODELED_SCENARIO
1985,4,24,0.0,100.0,0.8,1.0,0.0,MODELED_SCENARIO
1985,5,1,,100.0,0.8,1.0,,MODELED_SCENARIO
1985,5,2,,100.0,0.8,1.0,,MODELED_SCENARIO
1985,5,3,,100.0,0.8,1.0,,MODELED_SCENARIO
1985,5,4,,100.0,0.8,1.0,,MODELED_SCENARIO
1985,5,5,,100.0,0.8,1.0,,MODELED_SCENARIO
1985,5,6,,100.0,0.8,1.0,,MODELED_SCENARIO
1985,5,7,,100.0,0.8,1.0,,MODELED_SCENARIO
1985,5,8,,100.0,0.8,1.0,,MODELED_SCENARIO
1985,5,9,,100.0,0.8,1.0,,MODELED_SCENARIO
1985,5,10,,100.0,0.8,1.0,,MODELED_SCENARIO
1985,5,11,,100.0,0.8,1.0,,MODELED_SCENARIO
1985,5,12,,100.0,0.8,1.0,,MODELED_SCENARIO
1985,5,13,,100.0,0.8,1.0,,MODELED_SCENARIO
1985,5,14,,100.0,0.8,1.0,,MODELED_SCENARIO
1985,5,15,,100.0,0.8,1.0,,MODELED_SCENARIO
1985,5,16,,100.0,0.8,1.0,,MODELED_SCENARIO
1985,5,17,,100.0,0.8,1.0,,MODELED_SCENARIO
1985,5,18,,100.0,0.8,1.0,,MODELED_SCENARIO
1985,5,19,,100.0,0.8,1.0,,MODELED_SCENARIO
1985,5,20,,100.0,0.8,1.0,,MODELED_SCENARIO
1985,5,21,,100.0,0.8,1.0,,MODELED_SCENARIO
1985,5,22,,100.0,0.8,1.0,,MODELED_SCENARIO
1985,5,23,,100.0,0.8,1.0,,MODELED_SCENARIO
1985,5,24,,100.0,0.8,1.0,,MODELED_SCENARIO
1985,6,1,,100.0,0.8,1.0,,MODELED_SCENARIO
1985,6,2,,100.0,0.8,1.0,,MODELED_SCENARIO
1985,6,3,,100.0,0.8,1.0,,MODELED_SCENARIO
1985,6,4,,100.0,0.8,1.0,,MODELED_SCENARIO
1985,6,5,,100.0,0.8,1.0,,MODELED_SCENARIO
1985,6,6,,100.0,0.8,1.0,,MODELED_SCENARIO
1985,6,7,,100.0,0.8,1.0,,MODELED_SCENARIO
1985,6,8,,100.0,0.8,1.0,,MODELED_SCENARIO
1985,6,9,,100.0,0.8,1.0,,MODELED_SCENARIO
1985,6,10,,100.0,0.8,1.0,,MODELED_SCENARIO
1985,6,11,,100.0,0.8,1.0,,MODELED_SCENARIO
1985,6,12,,100.0,0.8,1.0,,MODELED_SCENARIO
1985,6,13,,100.0,0.8,1.0,,MODELED_SCENARIO
1985,6,14,,100.0,0.8,1.0,,MODELED_SCENARIO
1985,6,15,,100.0,0.8,1.0,,MODELED_SCENARIO
1985,6,16,,100.0,0.8,1.0,,MODELED_SCENARIO
1985,6,17,,100.0,0.8,1.0,,MODELED_SCENARIO
1985,6,18,,100.0,0.8,1.0,,MODELED_SCENARIO
1985,6,19,,100.0,0.8,1.0,,MODELED_SCENARIO
1985,6,20,,100.0,0.8,1.0,,MODELED_SCENARIO
1985,6,21,,100.0,0.8,1.0,,MODELED_SCENARIO
1985,6,22,,100.0,0.8,1.0,,MODELED_SCENARIO
1985,6,23,,100.0,0.8,1.0,,MODELED_SCENARIO
1985,6,24,,100.0,0.8,1.0,,MODELED_SCENARIO
1985,7,1,,100.0,0.8,1.0,,MODELED_SCENARIO
1985,7,2,,100.0,0.8,1.0,,MODELED_SCENARIO
1985,7,3,,100.0,0.8,1.0,,MODELED_SCENARIO
1985,7,4,,100.0,0.8,1.0,,MODELED_SCENARIO
1985,7,5,,100.0,0.8,1.0,,MODELED_SCENARIO
1985,7,6,,100.0,0.8,1.0,,MODELED_SCENARIO
1985,7,7,,100.0,0.8,1.0,,MODELED_SCENARIO
1985,7,8,,100.0,0.8,1.0,,MODELED_SCENARIO
1985,7,9,,100.0,0.8,1.0,,MODELED_SCENARIO
1985,7,10,,100.0,0.8,1.0,,MODELED_SCENARIO
1985,7,11,,100.0,0.8,1.0,,MODELED_SCENARIO
1985,7,12,,100.0,0.8,1.0,,MODELED_SCENARIO
1985,7,13,,100.0,0.8,1.0,,MODELED_SCENARIO
1985,7,14,,100.0,0.8,1.0,,MODELED_SCENARIO
1985,7,15,,100.0,0.8,1.0,,MODELED_SCENARIO
1985,7,16,,100.0,0.8,1.0,,MODELED_SCENARIO
1985,7,17,,100.0,0.8,1.0,,MODELED_SCENARIO
1985,7,18,,100.0,0.8,1.0,,MODELED_SCENARIO
1985,7,19,,100.0,0.8,1.0,,MODELED_SCENARIO
1985,7,20,,100.0,0.8,1.0,,MODELED_SCENARIO
1985,7,21,,100.0,0.8,1.0,,MODELED_SCENARIO
1985,7,22,,100.0,0.8,1.0,,MODELED_SCENARIO
1985,7,23,,100.0,0.8,1.0,,MODELED_SCENARIO
1985,7,24,,100.0,0.8,1.0,,MODELED_SCENARIO
1985,8,1,0.0,100.0,0.8,1.0,0.0,MODELED_SCENARIO
1985,8,2,0.0,100.0,0.8,1.0,0.0,MODELED_SCENARIO
1985,8,3,0.0,100.0,0.8,1.0,0.0,MODELED_SCENARIO
1985,8,4,0.0,100.0,0.8,1.0,0.0,MODELED_SCENARIO
1985,8,5,0.0,100.0,0.8,1.0,0.0,MODELED_SCENARIO
1985,8,6,0.0,100.0,0.8,1.0,0.0,MODELED_SCENARIO
1985,8,7,0.0,100.0,0.8,1.0,0.0,MODELED_SCENARIO
1985,8,8,11.38888888888889,100.0,0.8,1.0,0.9111111111111111,MODELED_SCENARIO
1985,8,9,44.44444444444444,100.0,0.8,1.0,3.555555555555556,MODELED_SCENARIO
1985,8,10,104.16666666666666,100.0,0.8,1.0,8.333333333333334,MODELED_SCENARIO
1985,8,11,134.72222222222223,100.0,0.8,1.0,10.777777777777779,MODELED_SCENARIO
1985,8,12,151.38888888888889,100.0,0.8,1.0,12.11111111111111,MODELED_SCENARIO
1985,8,13,147.5,100.0,0.8,1.0,11.8,MODELED_SCENARIO
1985,8,14,112.22222222222224,100.0,0.8,1.0,8.97777777777778,MODELED_SCENARIO
1985,8,15,111.38888888888889,100.0,0.8,1.0,8.911111111111111,MODELED_SCENARIO
1985,8,16,35.55555555555556,100.0,0.8,1.0,2.8444444444444446,MODELED_SCENARIO
1985,8,17,20.555555555555557,100.0,0.8,1.0,1.6444444444444448,MODELED_SCENARIO
1985,8,18,0.0,100.0,0.8,1.0,0.0,MODELED_SCENARIO
1985,8,19,0.0,100.0,0.8,1.0,0.0,MODELED_SCENARIO
1985,8,20,0.0,100.0,0.8,1.0,0.0,MODELED_SCENARIO
1985,8,21,0.0,100.0,0.8,1.0,0.0,MODELED_SCENARIO
1985,8,22,0.0,100.0,0.8,1.0,0.0,MODELED_SCENARIO
1985,8,23,0.0,100.0,0.8,1.0,0.0,MODELED_SCENARIO
1985,8,24,0.0,100.0,0.8,1.0,0.0,MODELED_SCENARIO
1985,9,1,0.0,100.0,0.8,1.0,0.0,MODELED_SCENARIO
1985,9,2,0.0,100.0,0.8,1.0,0.0,MODELED_SCENARIO
1985,9,3,0.0,100.0,0.8,1.0,0.0,MODELED_SCENARIO
1985,9,4,0.0,100.0,0.8,1.0,0.0,MODELED_SCENARIO
1985,9,5,0.0,100.0,0.8,1.0,0.0,MODELED_SCENARIO
1985,9,6,0.5555555555555556,100.0,0.8,1.0,0.044444444444444446,MODELED_SCENARIO
1985,9,7,33.888888888888886,100.0,0.8,1.0,2.711111111111111,MODELED_SCENARIO
1985,9,8,76.11111111111111,100.0,0.8,1.0,6.0888888888888895,MODELED_SCENARIO
1985,9,9,143.05555555555554,100.0,0.8,1.0,11.444444444444445,MODELED_SCENARIO
1985,9,10,202.77777777777777,100.0,0.8,1.0,16.222222222222225,MODELED_SCENARIO
1985,9,11,260.0,100.0,0.8,1.0,20.8,MODELED_SCENARIO
1985,9,12,292.22222222222223,100.0,0.8,1.0,23.37777777777778,MODELED_SCENARIO
1985,9,13,284.16666666666663,100.0,0.8,1.0,22.73333333333333,MODELED_SCENARIO
1985,9,14,251.94444444444449,100.0,0.8,1.0,20.15555555555556,MODELED_SCENARIO
1985,9,15,198.05555555555557,100.0,0.8,1.0,15.844444444444447,MODELED_SCENARIO
1985,9,16,123.88888888888889,100.0,0.8,1.0,9.911111111111111,MODELED_SCENARIO
1985,9,17,71.94444444444444,100.0,0.8,1.0,5.755555555555556,MODELED_SCENARIO
1985,9,18,29.166666666666664,100.0,0.8,1.0,2.3333333333333335,MODELED_SCENARIO
1985,9,19,0.8333333333333334,100.0,0.8,1.0,0.06666666666666668,MODELED_SCENARIO
1985,9,20,0.0,100.0,0.8,1.0,0.0,MODELED_SCENARIO
1985,9,21,0.0,100.0,0.8,1.0,0.0,MODELED_SCENARIO
1985,9,22,0.0,100.0,0.8,1.0,0.0,MODELED_SCENARIO
1985,9,23,0.0,100.0,0.8,1.0,0.0,MODELED_SCENARIO
1985,9,24,0.0,100.0,0.8,1.0,0.0,MODELED_SCENARIO
1985,10,1,0.0,100.0,0.8,1.0,0.0,MODELED_SCENARIO
1985,10,2,0.0,100.0,0.8,1.0,0.0,MODELED_SCENARIO
1985,10,3,0.0,100.0,0.8,1.0,0.0,MODELED_SCENARIO
1985,10,4,9.444444444444445,100.0,0.8,1.0,0.7555555555555555,MODELED_SCENARIO
1985,10,5,35.55555555555556,100.0,0.8,1.0,2.8444444444444446,MODELED_SCENARIO
1985,10,6,84.16666666666666,100.0,0.8,1.0,6.733333333333333,MODELED_SCENARIO
1985,10,7,165.27777777777777,100.0,0.8,1.0,13.222222222222223,MODELED_SCENARIO
1985,10,8,268.88888888888886,100.0,0.8,1.0,21.51111111111111,MODELED_SCENARIO
1985,10,9,361.38888888888886,100.0,0.8,1.0,28.91111111111111,MODELED_SCENARIO
1985,10,10,457.5,100.0,0.8,1.0,36.6,MODELED_SCENARIO
1985,10,11,524.1666666666666,100.0,0.8,1.0,41.93333333333334,MODELED_SCENARIO
