month,source_hour,mean_pv_generation_kw,median_pv_generation_kw,min_pv_generation_kw,max_pv_generation_kw,std_pv_generation_kw,valid_observation_count,missing_observation_count,pv_capacity_kw,performance_ratio
1,1,0.7857142857142858,0.4222222222222222,0.0,2.777777777777778,0.8325116013659508,14,1,100.0,0.8
1,2,2.0533333333333332,1.688888888888889,0.46666666666666673,6.9333333333333345,1.6472263042322077,15,1,100.0,0.8
1,3,4.842962962962963,4.222222222222222,1.2000000000000002,12.4,2.6252668182752354,15,1,100.0,0.8
1,4,8.512592592592592,8.311111111111112,2.577777777777778,18.333333333333332,3.6900979723128606,15,1,100.0,0.8
1,5,13.237037037037036,13.022222222222224,3.933333333333333,25.933333333333334,5.08556532951377,15,1,100.0,0.8
1,6,19.094814814814814,19.466666666666665,7.088888888888889,34.31111111111112,6.2848069464311695,15,1,100.0,0.8
1,7,26.041481481481483,26.377777777777784,10.955555555555556,41.57777777777778,7.2829237431192,15,1,100.0,0.8
1,8,32.98518518518519,34.2,15.200000000000001,48.644444444444446,8.255858554403144,15,1,100.0,0.8
1,9,39.466666666666676,40.77777777777778,20.28888888888889,53.46666666666667,8.720597361543053,15,1,100.0,0.8
1,10,44.56444444444445,46.6,23.866666666666674,56.800000000000004,9.275131454166216,15,1,100.0,0.8
1,11,48.50962962962964,49.91111111111112,26.022222222222226,58.22222222222223,8.909078130393228,15,1,100.0,0.8
1,12,50.58518518518519,52.800000000000004,26.644444444444446,61.77777777777777,9.085440672655526,15,1,100.0,0.8
1,13,50.84000000000001,54.06666666666666,27.799999999999997,61.955555555555556,8.223424193568768,15,1,100.0,0.8
1,14,48.16592592592592,50.133333333333326,26.177777777777777,59.466666666666676,7.968168004764067,15,1,100.0,0.8
1,15,44.00444444444444,44.73333333333333,23.77777777777778,54.68888888888888,7.491988431154795,15,1,100.0,0.8
1,16,38.07111111111111,39.0,20.266666666666666,48.44444444444444,6.623597385714377,15,1,100.0,0.8
1,17,31.43999999999999,32.37777777777778,17.733333333333334,39.31111111111111,5.573572056354176,15,1,100.0,0.8
1,18,24.124444444444443,24.84444444444445,13.777777777777779,31.266666666666666,4.872604915198029,15,1,100.0,0.8
1,19,17.59111111111111,17.95555555555556,9.71111111111111,23.555555555555557,4.100413365835584,15,1,100.0,0.8
1,20,11.466666666666667,12.200000000000001,6.555555555555556,15.555555555555555,2.803336384624855,15,1,100.0,0.8
1,21,6.8385185185185176,7.711111111111112,3.1999999999999997,9.955555555555556,2.3918507539966773,15,1,100.0,0.8
1,22,3.3140740740740737,3.6,1.2666666666666668,6.666666666666666,1.5027045967961288,15,1,100.0,0.8
1,23,1.3274074074074071,1.0888888888888888,0.2,3.888888888888889,0.9645010102154602,15,1,100.0,0.8
1,24,0.6340740740740739,0.46666666666666673,0.0,2.0222222222222217,0.5832988148013147,15,1,100.0,0.8
2,1,0.029166666666666667,0.0,0.0,0.17777777777777778,0.05663761056083804,16,0,100.0,0.8
2,2,0.08055555555555556,0.022222222222222223,0.0,0.39999999999999997,0.11239993263328532,16,0,100.0,0.8
2,3,0.5805555555555555,0.4222222222222222,0.0,1.7111111111111112,0.5330168814256953,16,0,100.0,0.8
2,4,2.361111111111111,2.011111111111111,0.22222222222222224,5.888888888888889,1.6159594991461448,16,0,100.0,0.8
2,5,5.784722222222222,5.366666666666667,3.0666666666666673,10.8,2.344343950803888,16,0,100.0,0.8
2,6,11.027777777777779,10.044444444444444,7.177777777777779,17.711111111111112,2.9374662243045524,16,0,100.0,0.8
2,7,16.75277777777778,15.26666666666667,12.0,25.155555555555555,3.6370645695571002,16,0,100.0,0.8
2,8,23.266666666666666,22.21111111111111,17.777777777777782,31.488888888888887,4.1370592525680925,16,0,100.0,0.8
2,9,28.87083333333333,27.72222222222222,22.555555555555554,38.08888888888889,4.791770852329497,16,0,100.0,0.8
2,10,34.33611111111111,33.11111111111111,28.0,43.44444444444444,4.605595987849149,16,0,100.0,0.8
2,11,38.30555555555556,37.05555555555556,32.44444444444445,48.88888888888889,4.794801711936596,16,0,100.0,0.8
2,12,39.50555555555556,38.833333333333336,31.066666666666663,49.55555555555556,5.142464221713648,16,0,100.0,0.8
2,13,40.329166666666666,40.15555555555556,33.46666666666667,52.42222222222222,5.030332479664448,16,0,100.0,0.8
2,14,38.59583333333334,37.7,31.711111111111116,48.75555555555556,4.710287969668271,16,0,100.0,0.8
2,15,34.06944444444444,32.53333333333333,25.08888888888889,47.111111111111114,5.1629504755680875,16,0,100.0,0.8
2,16,28.40277777777778,26.955555555555556,19.444444444444446,39.488888888888894,4.618394961072615,16,0,100.0,0.8
2,17,22.18888888888889,21.788888888888888,13.288888888888891,29.2888888888889,3.9541820336898446,16,0,100.0,0.8
2,18,15.8375,15.944444444444443,8.222222222222221,21.91111111111111,3.47191168981773,16,0,100.0,0.8
2,19,9.552777777777777,9.922222222222224,4.111111111111111,14.488888888888889,2.7838319210414,16,0,100.0,0.8
2,20,4.480555555555556,5.2444444444444445,0.9333333333333335,8.4,2.145457446401813,16,0,100.0,0.8
2,21,1.4069444444444446,1.4333333333333336,0.0,3.0444444444444447,0.8918365477953565,16,0,100.0,0.8
2,22,0.4055555555555556,0.2777777777777778,0.0,1.688888888888889,0.46426188153907894,16,0,100.0,0.8
2,23,0.08194444444444446,0.011111111111111112,0.0,0.888888888888889,0.21964711691046207,16,0,100.0,0.8
2,24,0.04305555555555556,0.0,0.0,0.5333333333333334,0.13344902388293683,16,0,100.0,0.8
3,1,0.0,0.0,0.0,0.0,0.0,16,0,100.0,0.8
3,2,0.0041666666666666675,0.0,0.0,0.06666666666666668,0.01666666666666667,16,0,100.0,0.8
3,3,0.05138888888888889,0.0,0.0,0.8222222222222222,0.20555555555555555,16,0,100.0,0.8
3,4,0.19305555555555556,0.0,0.0,2.866666666666667,0.7140549597872058,16,0,100.0,0.8
3,5,0.6402777777777778,0.0888888888888889,0.022222222222222223,5.844444444444445,1.4683092653679717,16,0,100.0,0.8
3,6,2.2236111111111114,1.088888888888889,0.5111111111111111,11.133333333333333,2.798829487849807,16,0,100.0,0.8
3,7,6.3375,4.855555555555556,2.9111111111111114,17.933333333333334,3.9191938261476147,16,0,100.0,0.8
3,8,11.929166666666667,10.333333333333334,7.4,23.46666666666667,4.027250540204849,16,0,100.0,0.8
3,9,17.30972222222222,16.455555555555556,11.377777777777778,28.57777777777778,4.1349934439963745,16,0,100.0,0.8
3,10,21.955555555555556,21.96666666666667,15.377777777777778,32.46666666666667,4.13522855793213,16,0,100.0,0.8
3,11,25.316666666666666,25.133333333333333,18.177777777777774,34.6,4.485767158010408,16,0,100.0,0.8
3,12,26.53888888888889,25.544444444444444,20.511111111111113,37.53333333333333,4.363284902918089,16,0,100.0,0.8
3,13,26.66388888888889,25.488888888888887,20.28888888888889,37.37777777777777,4.422522788966726,16,0,100.0,0.8
3,14,24.423611111111114,23.444444444444446,17.866666666666667,33.13333333333334,3.9311395325899285,16,0,100.0,0.8
3,15,20.484722222222224,20.56666666666667,14.044444444444444,27.688888888888886,3.6746016832936044,16,0,100.0,0.8
3,16,15.368055555555557,15.511111111111113,8.955555555555556,21.555555555555557,3.463797186109784,16,0,100.0,0.8
3,17,9.805555555555557,10.222222222222221,3.5777777777777775,14.244444444444444,3.01581564969111,16,0,100.0,0.8
3,18,5.169444444444444,4.677777777777778,0.5555555555555557,17.0,3.6396434049541635,16,0,100.0,0.8
3,19,1.3194444444444444,1.1666666666666667,0.022222222222222223,2.977777777777778,0.8353063064016717,16,0,100.0,0.8
3,20,0.13194444444444445,0.0888888888888889,0.0,0.4888888888888889,0.14228441927027072,16,0,100.0,0.8
3,21,0.001388888888888889,0.0,0.0,0.022222222222222223,0.005555555555555557,16,0,100.0,0.8
3,22,0.0,0.0,0.0,0.0,0.0,16,0,100.0,0.8
3,23,0.0,0.0,0.0,0.0,0.0,15,1,100.0,0.8
3,24,0.0,0.0,0.0,0.0,0.0,15,1,100.0,0.8
4,1,0.0,0.0,0.0,0.0,0.0,16,0,100.0,0.8
4,2,0.0,0.0,0.0,0.0,0.0,16,0,100.0,0.8
4,3,0.0,0.0,0.0,0.0,0.0,16,0,100.0,0.8
4,4,0.0,0.0,0.0,0.0,0.0,16,0,100.0,0.8
4,5,0.0,0.0,0.0,0.0,0.0,16,0,100.0,0.8
4,6,0.022222222222222223,0.0,0.0,0.24444444444444446,0.06179749219144952,16,0,100.0,0.8
4,7,0.29166666666666663,0.055555555555555566,0.0,1.6666666666666665,0.49156674021164665,16,0,100.0,0.8
4,8,1.6583333333333337,0.7333333333333334,0.26666666666666666,4.733333333333333,1.6269515030927129,16,0,100.0,0.8
4,9,3.9722222222222223,3.1111111111111116,1.2222222222222223,8.311111111111112,2.1878000676027205,16,0,100.0,0.8
4,10,7.03888888888889,6.077777777777779,2.6,11.777777777777779,2.410122685264112,16,0,100.0,0.8
4,11,9.279166666666667,8.899999999999999,4.7555555555555555,13.466666666666667,2.1527047777348165,16,0,100.0,0.8
4,12,10.56388888888889,10.155555555555557,6.177777777777779,17.733333333333334,2.5739419097432075,16,0,100.0,0.8
4,13,9.870833333333334,10.366666666666667,5.866666666666667,15.0,2.351712011007311,16,0,100.0,0.8
4,14,8.145833333333334,8.8,3.68888888888889,13.0,2.4278760892036377,16,0,100.0,0.8
